,data,ML,Low,High
Abruzzo,2020-03-14 17:00:00,2.0,0.34,6.43
Abruzzo,2020-03-15 17:00:00,1.8800000000000001,0.38,5.01
Abruzzo,2020-03-16 17:00:00,1.8,0.38,4.45
Abruzzo,2020-03-17 17:00:00,2.05,0.5,4.54
Abruzzo,2020-03-18 17:00:00,2.17,0.61,4.33
Abruzzo,2020-03-19 17:00:00,2.16,0.68,4.01
Abruzzo,2020-03-20 17:00:00,2.1,0.72,3.69
Abruzzo,2020-03-21 17:00:00,2.0300000000000002,0.39,3.56
Abruzzo,2020-03-22 17:00:00,1.96,0.48,3.36
Abruzzo,2020-03-23 17:00:00,1.78,0.42,3.0300000000000002
Abruzzo,2020-03-24 17:00:00,1.55,0.31,2.71
Abruzzo,2020-03-25 17:00:00,1.48,0.3,2.57
Abruzzo,2020-03-26 17:00:00,1.35,0.26,2.41
Abruzzo,2020-03-27 17:00:00,1.32,0.27,2.35
Abruzzo,2020-03-28 17:00:00,1.3,0.26,2.27
Abruzzo,2020-03-29 17:00:00,1.21,0.23,2.17
Abruzzo,2020-03-30 17:00:00,1.26,0.28,2.19
Abruzzo,2020-03-31 17:00:00,1.25,0.29,2.15
Abruzzo,2020-04-01 17:00:00,1.18,0.27,2.08
Abruzzo,2020-04-02 17:00:00,1.11,0.23,2.0
Abruzzo,2020-04-03 17:00:00,1.0,0.14,1.85
Abruzzo,2020-04-04 17:00:00,0.89,0.05,1.69
Abruzzo,2020-04-05 17:00:00,0.88,0.04,1.69
Abruzzo,2020-04-06 17:00:00,0.8200000000000001,0.0,1.61
Abruzzo,2020-04-07 17:00:00,0.75,0.0,1.57
Abruzzo,2020-04-08 17:00:00,0.8,0.0,1.6400000000000001
Abruzzo,2020-04-09 17:00:00,0.86,0.0,1.71
Abruzzo,2020-04-10 17:00:00,0.93,0.01,1.79
Abruzzo,2020-04-11 17:00:00,1.0,0.08,1.93
Abruzzo,2020-04-12 17:00:00,1.0,0.08,1.93
Abruzzo,2020-04-13 17:00:00,1.0,0.08,1.93
Basilicata,2020-03-26 17:00:00,2.0,0.34,6.43
Basilicata,2020-03-27 17:00:00,1.8800000000000001,0.38,5.01
Basilicata,2020-03-28 17:00:00,1.8,0.38,4.45
Basilicata,2020-03-29 17:00:00,1.74,0.4,4.13
Basilicata,2020-03-30 17:00:00,1.69,0.37,3.85
Basilicata,2020-03-31 17:00:00,1.6400000000000001,0.4,3.7
Basilicata,2020-04-01 17:00:00,1.61,0.41000000000000003,3.56
Basilicata,2020-04-02 17:00:00,1.0,0.0,3.35
Basilicata,2020-04-03 17:00:00,1.0,0.0,3.35
Basilicata,2020-04-04 17:00:00,1.0,0.0,3.35
Basilicata,2020-04-05 17:00:00,1.0,0.0,3.35
Basilicata,2020-04-06 17:00:00,1.0,0.0,3.35
Basilicata,2020-04-07 17:00:00,1.0,0.0,3.35
Basilicata,2020-04-08 17:00:00,1.0,0.0,3.35
Basilicata,2020-04-09 17:00:00,1.0,0.0,3.35
Basilicata,2020-04-10 17:00:00,1.0,0.0,3.35
Basilicata,2020-04-11 17:00:00,1.0,0.0,3.35
Basilicata,2020-04-12 17:00:00,1.0,0.0,3.35
Basilicata,2020-04-13 17:00:00,1.0,0.0,3.35
Calabria,2020-03-18 17:00:00,2.0,0.34,6.43
Calabria,2020-03-19 17:00:00,1.8800000000000001,0.38,5.01
Calabria,2020-03-20 17:00:00,1.8,0.38,4.45
Calabria,2020-03-21 17:00:00,1.74,0.4,4.13
Calabria,2020-03-22 17:00:00,1.69,0.37,3.85
Calabria,2020-03-23 17:00:00,1.6400000000000001,0.4,3.7
Calabria,2020-03-24 17:00:00,1.83,0.46,3.79
Calabria,2020-03-25 17:00:00,1.47,0.0,3.49
Calabria,2020-03-26 17:00:00,1.8,0.01,3.61
Calabria,2020-03-27 17:00:00,1.67,0.01,3.35
Calabria,2020-03-28 17:00:00,1.83,0.11,3.44
Calabria,2020-03-29 17:00:00,1.69,0.09,3.16
Calabria,2020-03-30 17:00:00,1.59,0.11,2.99
Calabria,2020-03-31 17:00:00,1.35,0.03,2.64
Calabria,2020-04-01 17:00:00,1.32,0.02,2.5500000000000003
Calabria,2020-04-02 17:00:00,1.1500000000000001,0.0,2.35
Calabria,2020-04-03 17:00:00,1.1500000000000001,0.01,2.34
Calabria,2020-04-04 17:00:00,1.0,0.0,2.2
Calabria,2020-04-05 17:00:00,1.0,0.0,2.2
Calabria,2020-04-06 17:00:00,0.85,0.0,2.09
Calabria,2020-04-07 17:00:00,0.6900000000000001,0.0,2.0100000000000002
Calabria,2020-04-08 17:00:00,0.67,0.0,2.04
Calabria,2020-04-09 17:00:00,0.64,0.0,2.08
Calabria,2020-04-10 17:00:00,0.38,0.0,2.0
Calabria,2020-04-11 17:00:00,0.27,0.0,2.07
Calabria,2020-04-12 17:00:00,0.11,0.0,2.15
Calabria,2020-04-13 17:00:00,0.27,0.0,2.43
Campania,2020-03-11 17:00:00,2.0,0.34,6.43
Campania,2020-03-12 17:00:00,1.8800000000000001,0.38,5.01
Campania,2020-03-13 17:00:00,2.17,0.51,4.99
Campania,2020-03-14 17:00:00,1.96,0.5,4.24
Campania,2020-03-15 17:00:00,1.83,0.46,3.79
Campania,2020-03-16 17:00:00,1.73,0.46,3.52
Campania,2020-03-17 17:00:00,1.6600000000000001,0.45,3.31
Campania,2020-03-18 17:00:00,1.32,0.0,3.0300000000000002
Campania,2020-03-19 17:00:00,1.57,0.01,3.15
Campania,2020-03-20 17:00:00,1.73,0.11,3.2600000000000002
Campania,2020-03-21 17:00:00,1.98,0.38,3.48
Campania,2020-03-22 17:00:00,2.06,0.59,3.41
Campania,2020-03-23 17:00:00,2.05,0.76,3.27
Campania,2020-03-24 17:00:00,1.9100000000000001,0.75,2.99
Campania,2020-03-25 17:00:00,1.81,0.78,2.81
Campania,2020-03-26 17:00:00,1.62,0.67,2.5500000000000003
Campania,2020-03-27 17:00:00,1.3800000000000001,0.48,2.2600000000000002
Campania,2020-03-28 17:00:00,1.2,0.33,2.04
Campania,2020-03-29 17:00:00,1.05,0.22,1.8800000000000001
Campania,2020-03-30 17:00:00,1.0,0.18,1.82
Campania,2020-03-31 17:00:00,0.9500000000000001,0.14,1.76
Campania,2020-04-01 17:00:00,0.9500000000000001,0.11,1.73
Campania,2020-04-02 17:00:00,0.9500000000000001,0.13,1.76
Campania,2020-04-03 17:00:00,1.0,0.17,1.83
Campania,2020-04-04 17:00:00,1.0,0.17,1.83
Campania,2020-04-05 17:00:00,1.0,0.17,1.83
